districtid,timeid,neighborhoodzscore,statezscore
163,6,-0.23,0.05
163,7,-0.1,0.23
164,3,-0.62,-0.65
164,4,-0.44,-0.15
164,5,-0.43,-0.19
164,6,-0.47,-0.42
164,7,-0.49,-0.36
165,2,0.0,11.97
165,3,0.0,0.52
165,4,79.55,36.11
165,5,56.85,38.84
165,6,66.09,17.67
165,7,185.7,19.02
166,3,-0.26,-0.21
166,4,-0.72,-0.42
166,5,-0.73,-0.32
166,6,-0.06,-0.04
166,7,-0.9,-0.55
167,3,-0.58,-0.22
167,4,-0.93,-0.27
167,5,-2.11,-0.69
167,6,-1.07,-0.58
167,7,-1.03,-0.6
169,2,0.0,1.17
169,3,-0.47,0.23
169,4,-1.0,-0.39
169,5,-14.0,-0.78
169,6,-2.86,-0.43
169,7,2.0,-0.42
170,3,4.96,3.14
170,4,0.28,0.07
170,5,0.98,-0.21
170,6,2.4,3.42
170,7,0.63,0.23
171,2,0.0,-0.32
171,3,-0.39,-0.33
171,4,-0.89,-0.44
171,5,-0.64,-0.55
171,6,-0.66,-0.79
171,7,-0.47,-0.51
172,2,-0.6,-0.41
172,3,7.19,0.99
172,4,6.12,3.84
172,5,-0.16,-0.33
172,6,-0.5,-0.42
172,7,-0.74,-0.52
173,2,-1.47,-0.37
173,3,-0.96,-0.26
173,4,-0.74,-0.29
173,5,-0.7,-0.31
173,6,-0.82,-0.4
173,7,-0.72,-0.31
174,2,-0.98,-0.34
174,3,-0.71,-0.28
174,4,-0.66,-0.29
174,5,-0.28,0.13
174,6,-0.4,-0.06
174,7,-0.39,-0.04
175,2,-2.83,-0.36
175,3,-0.2,-0.46
175,4,0.6,-0.46
175,5,-0.44,-0.59
175,6,-0.81,-0.56
175,7,-0.49,-0.44
176,3,0.06,-0.21
176,4,-0.28,0.64
176,5,-1.25,-0.41
176,6,-0.89,-0.35
176,7,-1.27,-0.46
177,3,5.47,0.53
177,4,-0.03,-0.3
177,5,-0.75,-0.74
177,6,-0.1,-0.81
177,7,-0.21,-0.8
178,2,-0.98,-0.39
178,3,-1.1,-0.65
178,4,-0.19,-0.15
178,5,-0.46,0.02
178,6,-0.16,0.27
178,7,-0.68,-0.67
179,2,0.0,5.13
179,3,18.42,5.18
179,4,8.21,1.96
179,5,41.86,10.2
179,6,20.48,3.39
