districtid,timeid,neighbormean,neighborstdev
638,1,1816.25,1734.62
639,1,15029.5,10208.5
640,1,875.57,586.71
641,1,2994.71,1608.13
642,1,3380.0,843.0
643,1,1292.5,935.1
644,1,3710.75,2188.27
645,1,10129.0,12246.04
646,1,9810.25,4137.84
648,1,4015.25,627.54
649,1,1025.5,890.4
650,1,39961.29,62937.12
651,1,1693.0,1309.86
652,1,2184.6,1434.44
654,1,25118.0,14922.88
657,1,146.25,163.11
661,1,1747.0,0.0
663,1,422.0,0.0
664,1,655.33,865.36
665,1,12507.5,8627.63
666,1,2279.5,417.56
667,1,17448.25,27847.09
668,1,2625.67,1171.32
669,1,1859.0,881.32
670,1,3639.0,960.65
671,1,635.8,242.61
672,1,895.67,549.11
673,1,6619.67,10659.55
674,1,952.6,746.83
677,1,10447.67,8559.14
678,1,3048.5,1577.5
679,1,315.0,88.0
680,1,1802.5,1929.28
682,1,64605.2,64811.77
683,1,6092.0,3986.1
684,1,9166.0,5084.27
685,1,64404.0,54953.88
686,1,8377.0,2445.25
687,1,3788.33,2601.87
689,1,10125.25,5065.52
690,1,1815.0,1774.39
692,1,285.0,240.0
693,1,9472.8,5571.98
694,1,6520.8,6181.73
695,1,3360.33,3928.87
696,1,97.0,117.18
697,1,1421.29,1190.24
699,1,3531.86,2108.5
700,1,1388.83,1571.97
701,1,8429.33,4365.43
702,1,2795.17,4636.31
704,1,1201.83,1563.72
705,1,979.8,501.54
706,1,13022.25,12081.08
707,1,1351.0,87.0
708,1,73.5,0.5
709,1,91.0,117.1
710,1,66.57,85.34
711,1,1044.83,931.64
712,1,4371.67,1025.41
713,1,10100.67,3553.16
714,1,1285.67,1760.89
715,1,894.4,436.15
716,1,9224.75,7613.44
717,1,18462.0,18279.02
718,1,2415.4,975.21
719,1,23352.0,16066.46
720,1,3334.25,4449.02
721,1,13492.2,5739.05
723,1,11624.67,3446.74
724,1,8121.33,4744.39
725,1,23869.75,25488.9
726,1,19136.0,15259.84
730,1,12350.0,13756.72
731,1,3803.67,1207.95
732,1,7730.67,6687.34
734,1,42.0,34.95
735,1,41756.5,23908.5
736,1,967.5,911.5
737,1,152.67,88.7
739,1,406.8,736.88
740,1,80.0,52.02
742,1,1125.0,0.0
743,1,464.0,554.8
745,1,3159.6,1337.64
746,1,3902.33,2666.79
747,1,238.67,451.28
