districtid,timeid,statemean,statestdev
125,7,31.59,77.4
125,8,23.1,52.86
125,11,36.73,86.38
125,12,31.21,64.2
125,13,36.32,79.27
125,14,25.52,60.16
125,17,53.73,102.96
125,18,93.79,164.54
125,19,103.51,181.89
125,20,115.12,217.8
125,21,111.06,202.5
125,22,126.31,206.13
125,23,148.51,244.3
125,24,178.24,278.43
125,25,217.86,357.46
126,7,8.57,9.92
126,9,15.57,11.81
126,10,33.14,25.9
126,11,31.14,16.6
126,12,33.83,22.71
126,13,39.8,25.18
126,14,32.66,20.05
126,15,40.86,34.56
126,16,65.29,68.02
126,17,97.11,125.23
126,18,260.6,319.16
126,19,305.91,385.57
126,20,486.11,545.38
126,21,558.91,531.76
126,22,666.17,584.2
126,23,461.4,391.84
126,24,331.8,321.26
126,25,324.0,279.2
127,7,101.18,317.22
127,8,151.53,464.62
127,9,124.88,508.08
127,10,107.25,368.83
127,11,107.75,375.32
127,12,130.33,420.71
127,13,133.64,461.1
127,14,147.29,456.14
127,15,154.48,392.0
127,16,167.35,379.99
127,17,200.19,408.17
127,18,230.0,404.05
127,19,255.69,432.57
127,20,274.92,410.27
127,21,261.31,373.07
127,22,271.38,375.76
127,23,279.23,388.8
127,24,291.23,408.86
127,25,320.23,441.32
128,7,49.69,176.22
128,8,139.3,420.94
128,9,152.61,599.14
128,10,197.23,768.89
128,11,197.33,794.34
128,12,297.77,1341.88
128,13,400.59,1777.55
128,14,429.41,1723.78
128,15,657.0,2251.88
128,16,898.52,2767.39
128,17,805.19,1795.73
128,18,904.56,1589.48
128,19,1076.41,1671.62
128,20,1173.89,1407.22
128,21,1031.48,1363.92
128,22,1105.96,1392.1
128,23,1180.26,1621.0
128,24,1233.81,1708.95
128,25,1226.41,1497.3
129,8,4.11,3.39
129,9,15.51,11.87
129,10,32.86,26.2
129,11,31.51,16.54
129,12,34.51,22.31
129,13,39.77,25.21
129,14,32.49,20.18
129,15,40.94,34.49
129,16,65.31,68.0
129,17,96.97,125.3
129,18,260.43,319.26
129,19,305.34,385.83
129,20,489.2,544.04
